Test Cases:
67 75
83 45
85
93 37
94 34
19 95
86 44
29 73
95 32
48 94
96 3
72 19
81 5
27 42
50 5
73 35
1 50
24 59
32 42
47 6
81 93
22 81
36 32
87 64
82 55
83 95
4 92
90 92
11 77
28 56
13 71
5 19
68 19
23 29
81 57
11 44
84 80
48 84
70 97
58 13
23 15
43 20
25 94
6 77
17 79
69 83
96 88
53 28
89 44
51 91
72 73
38 42
46 60
18 33
28 77
86 48
65 68
49 25
80 35
77 26
5 16
34 36
63 89
18 28
22 67
41 28
38 92
23 77
39 8
79 15
34 97
90 10
48 74
49 93
78 21
71 68
81 60
94 81
26 58
36 30
28 66
21 24
57 64
3 96
35 95
100 19
56 1
27 78
52
28 14
4 37
49 59
42 51
19 50
21 49
99 86
90 68
54 38
88 59
94 53
63 74
64 73
20 50
21 64
81 85
63 37
66 95
99 54
64 53
73 53
81 77
36 88
41 97
46 100
91 54
42 58
18 92
32 81
62 53
72 6
58 87
15 5
12 70
7 43
67 89
70 20
15 68
80 68
26 74
68 4
33 72
83 42
14 57
15 33
77 47
60 69
61 99
88 95
40 32
60 23
58 29
29
51 6
99 60
27 37
89 38
6 7
51 19
4 14
74 33
92 66
34 7
4 82
91 90
38 77
96 100
62 53
8 71
5 66
31 28
8 74
97 53
49 4
85 96
49 59
41 41
15 52
96 90
75 98
36 100
27 40
29
53 35
52 90
88 3
36 34
20 56
50 50
73 38
72 13
55 88
67 91
1 81
23 99
41 84
92 39
100 42
11 45
100 90
64 11
8 16
79 34
92 30
88 36
34 32
91 27
52 78
4 57
7 95
92 57
39 40
28
98 40
54 33
7 9
88 41
99 94
12 95
2 87
24 25
7 35
80 2
95 31
10 14
69 60
49 70
32 90
94 47
19 41
59 43
63 99
93 81
86 16
13 4
89 35
78 8
79 18
93 4
73 87
89 15
57
60 94
93 71
48 35
68 32
27 47
40 41
12 40
62 68
8 33
59 37
50 2
61 4
57 100
30 29
38 87
41 84
82 6
61 66
90 30
55 7
57 23
84 17
38 78
71 5
79 40
76 93
69 45
20 62
97 25
35 83
54 55
68 9
32 19
3 28
44 49
17 38
97 94
31 51
26 26
72 93
5 99
25 61
80 70
34 1
22 47
71 3
24 49
50 94
24 54
38 15
57 40
9 91
45 46
30 19
8 77
46 25
34 26
12
57 58
74 62
69 47
3 54
69 23
35 21
30 71
94 19
70 67
20 27
97 6
31 60
46
35 99
12 23
81 96
100 45
33 100
9 79
30 88
93 50
49 14
60 41
25 73
57 49
28 53
84 48
52 22
94 2
81 67
6 80
99 77
82 9
83 26
57 73
93 87
23 24
48 1
56 19
73 23
24 57
13 38
98 40
58 15
30 44
36 29
5 21
44 95
44 77
13 8
32 97
97 7
76 88
58 14
76 52
41 61
20 16
18 52
72 33
38
65 34
45 81
42 100
96 76
59 36
61 7
7 74
25 42
49 81
23 65
13 64
96 55
99 78
95 23
74 47
51 6
17 30
23 80
70 91
31 91
12 34
26 8
95 33
99 91
37 89
88 45
31 80
3 12
100 53
14 63
65 81
18 83
38 100
80 17
16 59
9 52
80 77
78 10
47
3 94
86 50
52 94
60 76
57 93
80 25
65 42
24 85
73 26
89 89
26 35
32 25
27 17
29 83
97 47
59 48
23 81
29 28
47 67
89 31
10 18
95 21
27 61
80 73
71 64
84 85
83 87
12 49
31 41
60 66
22 3
56 53
14 66
33 65
13 14
35 48
63 95
97 61
82 73
24 41
96 50
27 3
76 54
38 15
20 28
54 97
41 8
53
31 35
20 42
14 82
58 51
29 53
74 61
72 30
24 36
7 51
41 83
39 100
99 74
19 49
30 87
31 73
32 57
53 62
79 8
86 19
41 45
40 59
36 68
43 8
80 83
64 48
54 57
80 47
2 68
6 58
59 74
53 94
65 94
64 79
11 82
79 10
50 76
25 10
30 34
86 71
52 83
47 12
7 14
43 42
27 92
56 27
63 33
66 80
78 78
88 51
84 54
53 78
89 58
37 72
66
11 32
7 3
10 61
46 18
33 59
95 86
1 56
49 22
18 3
32 22
6 84
53 98
82 89
32 10
25 35
99 94
87 41
1 11
21 57
30 70
21 93
21 71
40 3
63 80
86 83
14 35
98 53
70 85
27 59
82 81
62 84
14 89
21 30
28 35
64 21
25 10
93 60
89 94
37 100
18 81
29 51
16 100
26 38
69 41
57 94
63 55
9 24
58 27
42 71
28 83
2 17
98 52
98 69
1 79
76 56
40 70
46 43
24 49
82 56
58 67
71 46
39 30
26 70
46 83
14 96
1 15
89
14 33
11 24
87 84
67 93
91 35
85 35
50 21
34 77
62 57
21 75
29 35
55 57
43 6
35 5
91 8
3 27
24 91
95 27
35 26
80 75
28 55
67 66
89 80
83 76
57 99
33 43
40 6
26 69
70 11
54 55
35 40
71 9
30 74
52 99
61 80
91 32
100 26
93 44
99 7
12 63
9 63
29 52
42 33
60 47
56 11
80 67
98 14
87 79
25 33
22 35
36 25
89 26
78 90
65 13
81 32
50 10
65 1
3 50
49 58
83 95
9 37
85 23
73 8
8 69
8 29
49 69
21 1
76 70
10 31
21 53
54 51
39 73
45 50
45 89
1 87
41 73
80 94
37 1
75 32
68 94
52 68
73 35
67 77
38 35
86 11
32 75
31 83
76 63
74 85
13
20 31
19 93
25 25
68 9
18 12
54 52
60 37
33 34
6 19
16 42
7 64
72 97
69 48
12
2 45
88 98
30 100
91 15
14 46
45 22
99 61
18 37
61 89
50 20
4 89
76 10
39
28 12
66 22
53 32
50 75
67 27
21 15
25 28
98 30
26 12
32 76
20 79
41 77
58 87
2 56
30 95
12 95
59 43
23 38
88 67
2 37
1 73
3 26
55 43
16 16
63 37
83 72
21 43
18 66
31 50
98 24
43 92
69 25
12 37
53 9
66 62
35 42
3 49
32 14
58 31
50
92 18
41 6
88 62
79 48
43 23
48 5
46 13
70 25
93 23
53 75
3 18
81 77
64 80
85 78
31 70
9 39
30 66
20 77
18 73
14 12
67 72
100 29
88 60
26 16
43 12
87 54
48 14
15 88
90 98
17 55
93 94
85 19
86 73
73 85
28 22
33 10
88 64
27 24
20 76
47 43
39 50
13 32
40 56
9 17
55 71
59 86
20 75
22 50
60 85
76 93
13
51 80
76 65
44 96
21 72
52 42
97 57
98 8
100 75
85 35
79 13
68 24
43 25
57 44
93
72 75
46 13
32 34
18 4
6 40
77 61
10 22
14 35
57 36
27 87
45 77
52 47
31 77
10 7
22 56
64 99
90 31
39 66
79 49
72 49
39 67
18 99
65 16
20 39
15 64
96 7
79 79
80 60
25 41
13 69
60 23
54 17
62 29
86 51
49 78
21 96
72 95
4 99
65 71
75 24
88 34
15 79
67 41
96 78
27 22
9 70
15 80
5 85
20 65
24 12
30 6
38 88
25 42
31 38
6 95
20 91
14 17
93 39
66 49
32 29
53 66
77 56
68 17
38 45
81 54
32 41
14 52
51 65
74 85
98 71
15 64
19 10
50 39
14 64
33 92
11 2
100 10
73 21
93 63
92 25
39 65
63 71
89 42
11 95
39 52
82 98
86 21
59 44
69 46
97 45
90 30
14 76
78 6
58
5 36
14 4
87 8
86 8
81 43
70 94
43 56
91 30
95 79
83 17
49 21
3 75
50 91
91 81
96 84
29 36
58 36
70 62
17 46
25 4
60 64
33 70
96 14
33 67
87 48
70 96
78 76
26 51
24 23
74 6
32 26
73 50
6 32
70 13
67 67
78 91
79 4
31 60
42 43
68 89
5 86
70 21
10 53
22 38
26 37
49 76
18 1
52 17
24 34
19 62
11 94
92 84
50 83
68 15
62 65
34 67
29 45
75 11
21
51 80
51 56
19 18
1 50
79 99
28 97
45 30
4 59
2 100
4 97
50 15
4 63
42 60
13 84
18 44
71 47
20 13
87 98
52 58
82 14
54 34
16
20 1
44 60
74 17
58 14
25 87
18 26
81 60
58 13
37 87
79 1
53 91
83 10
41 84
44 10
96 64
28 52
33
74 16
37 21
42 38
19 13
11 55
99 17
45 27
92 1
41 10
88 30
12 74
27 24
31 94
34 76
31 79
17 89
31 29
72 87
1 36
62 21
3 7
35 94
47 21
85 66
97 78
13 35
11 92
87 28
5 90
25 92
26 61
99 50
75 38
88
60 62
64 96
86 42
30 35
68 93
78 97
70 37
55 43
15 100
23 77
12 54
54 16
14 37
43 57
27 3
36 66
84 13
21 45
91 39
75 91
88 27
91 79
93 79
52 7
46 7
81 94
80 54
76 26
37 96
9 28
5 48
87 14
68 22
28 8
28 40
72 18
65 76
72 85
61 38
14 88
68 8
24 41
48 85
81 100
54 22
31 87
82 42
87 27
47 73
57 26
38 20
79 57
3 82
52 43
76 94
62 31
82 95
5 27
45 88
32 6
16 49
69 83
1 81
72 58
86 99
68 46
68 90
61 71
70 4
85 58
89 26
46 63
79 40
59 71
10 37
99 3
39 60
66 39
82 62
45 18
44 82
72 89
14 24
22 49
95 14
73 42
25 80
22 46
20
4 8
30 91
41 16
7 31
52 87
20 26
11 83
44 73
87 3
18 48
61 98
35 65
1 9
42 23
67 84
57 51
89 26
72 85
41 88
28 97
39
84 66
8 90
62 59
21 59
11 34
55 41
96 32
69 71
37 87
31 95
95 66
22 17
78 100
31 71
59 60
100 14
61 20
52 89
30 48
33 28
69 80
30 36
61 32
81 41
21 8
45 8
18 37
5 90
76 63
13 41
41 27
69 25
10 2
23 2
71 82
80 72
69 41
14 14
42 20
79
51 12
10 70
79 58
21 34
30 24
80 96
50 49
6 90
65 38
73 100
51 4
95 94
17 54
41 57
16 84
36 99
50 48
77 57
82 51
27 7
67 73
48 87
1 100
68 49
76 78
33 39
94 87
72 3
73 90
11 26
4 78
11 35
40 83
92 67
22 40
23 52
23 1
66 70
64 87
6 22
83 14
90 9
18 46
27 96
63 27
92 26
83 47
2 81
35 30
87 74
3 71
32 83
29 34
79 10
70 96
72 15
27 82
58 52
11 78
28 57
63 2
27 11
86 14
89 57
69 17
96 64
98 22
34 18
97 85
3 50
19 23
73 62
31 70
28 31
93 14
2 96
60 7
5 12
75 12
39
9 88
27 28
33 73
14 70
100 27
90 61
74 43
2 74
59 66
89 30
11 80
60 34
55 28
18 53
37 16
73 48
15 55
98 2
55 30
99 68
98 31
100 86
82 70
63 98
28 54
69 100
6 92
86 64
69 18
98 40
75 39
97 1
47 49
84 7
16 3
69 47
79 37
57 81
19 64
80
58 23
30 24
15 75
45 33
23 67
2 65
74 25
6 60
6 35
64 94
74 80
26 84
52 3
89 19
59 36
21 91
25 55
14 91
63 55
55 49
67 39
65 53
70 95
11 33
62 9
11 92
77 89
62 7
18 90
79 99
39 2
33 40
28 1
74 90
67 60
2 82
45 8
5 87
52 9
48 29
26 88
14 89
60 65
42 39
2 25
51 65
50 91
61 41
51 96
58 32
28 16
67 16
25 83
75 74
85 32
8 32
77 25
81 59
76 71
96 48
20 87
61 1
60 61
63 77
69 4
66 11
86 95
28 38
34 42
71 12
73 44
51 90
56 62
36 52
89 52
19 42
11 12
50 46
40 12
28 99
83
17 46
73 88
43 62
73 93
88 10
15 28
31 65
27 22
42 51
45 30
95 71
29 39
73 72
93 42
54 49
32 84
24 62
23 22
90 50
17 42
53 86
53 68
63 6
98 29
98 14
66 8
100 80
56 93
61 33
54 87
13 44
68 17
72 58
45 17
76 30
34 80
98 13
80 88
51 30
33 18
92 62
95 74
11 70
72 17
68 51
25 75
57 71
34 57
38 30
82 45
79 12
56 99
42 17
36 54
20 57
26 91
83 81
99 49
85 65
62 78
47 64
94 73
28 81
64 97
60 23
60 45
65 71
86 12
69 44
19 6
4 7
46 40
55 72
32 65
21 89
79 37
77 54
97 94
88 25
60 25
72 27
61 70
74 78
2
91 56
16 76
62
17 96
29 76
57 52
68 25
32 99
86 46
66 23
25 58
73 25
59 16
34 20
50 11
20 39
42 63
10 79
38 7
51 77
14 8
96 55
100 41
40 81
74 8
19 86
55 88
25 60
69 6
36 56
47 1
69 57
55 17
63 20
30 8
40 32
46 31
76 95
8 99
15 88
42 23
99 43
19 52
42 82
70 52
28 77
59 11
92 36
88 60
43 47
56 98
2 11
70 98
94 71
91 92
5 41
59 80
98 38
1 91
23 71
74 70
90 69
12 54
78 44
31 61
43
12 12
24 61
24 36
53 45
26 71
19 96
90 93
91 4
3 69
53 53
75 32
32 28
6 52
86 22
81 70
43 46
55 9
4 19
89 28
99 81
26 50
21 62
85 88
59 34
14 14
25 22
38 33
68 76
39 12
66 32
15 98
23 33
28 48
94 94
48 36
25 19
78 89
81 15
77 51
13 63
67 13
4 37
40 65
33
33 4
44 63
28 78
11 73
43 99
49 63
46 47
19 50
69 78
100 53
81 13
32 100
32 38
62 25
79 57
56 37
24 85
52 20
75 35
41 88
12 20
52 51
45 29
4 11
38 34
14 33
30 7
45 33
4 51
77 33
42 34
70 16
32 14
64
18 16
48 88
89 4
55 81
37 77
69 56
7 91
70 17
58 45
6 11
8 43
82 94
12 33
9 6
95 73
43 87
16 39
78 23
87 80
89 84
42 33
77 11
59 58
26 47
40 19
54 54
16 5
20 100
21 68
59 66
58 55
68 90
11 41
90 55
51 59
16 92
29 22
24 72
78 94
58 29
26 23
95 97
69 39
35 41
56 8
57 24
12 51
69 89
75 1
74 97
72 21
54 22
67 27
50 81
1 83
38 39
13 5
41 74
72 60
85 75
27 28
73 89
54 24
42 88
51
7 92
58 67
79 93
82 100
44 59
80 20
74 18
77 28
29 64
79 21
40 4
51 43
12 13
4 72
3 100
79 27
60 34
93 76
36 15
28 43
45 24
86 18
38 3
58 16
32 40
49 100
16 46
72 63
89 80
23 13
6 1
5 64
71 58
53 30
56 78
40 88
51 79
47 4
80 75
56 21
65 9
24 19
83 77
92 44
66 41
92 45
51 22
63 62
28 19
97 49
4 60


